full_ID,ID,site,sex,mass,notes,death_date
MB_A1_F_01,1,A1,F,0.8059,feeding tester,
MB_A1_F_02,2,A1,F,0.9611,feeding tester,
MB_A1_F_03,3,A1,F,0.6687,mlhl,
MB_A1_F_04,4,A1,F,0.7777,,
MB_A1_F_05,5,A1,F,0.7871,,
MB_A1_F_06,6,A1,F,0.8059,,
MB_A1_F_07,7,A1,F,0.7283,,
MB_A1_F_08,8,A1,F,0.7713,,
MB_A1_F_09,9,A1,F,0.5809,,
MB_A1_F_10,10,A1,F,0.8228,,
MB_A1_F_11,11,A1,F,0.8314,,
MB_A1_F_12,12,A1,F,0.6552,,
MB_A1_M_01,1,A1,M,0.3263,,
MB_A1_M_02,2,A1,M,0.3261,,
MB_A1_M_03,3,A1,M,0.2495,mlhl,
MB_A1_M_04,4,A1,M,0.3141,,
MB_A1_M_05,5,A1,M,0.3079,,
MB_A1_M_06,6,A1,M,0.3226,,
MB_A1_M_07,7,A1,M,0.3306,,
MB_A1_M_08,8,A1,M,0.3894,,
MB_A1_M_09,9,A1,M,0.2994,,
MB_A1_M_10,10,A1,M,0.3309,,
MB_A1_M_11,11,A1,M,0.3417,,
MB_B1_F_01,1,B1,F,0.2677,,
MB_B1_F_02,2,B1,F,0.329,,
MB_B1_F_03,3,B1,F,0.6157,,
MB_B1_F_04,4,B1,F,0.6551,,
MB_B1_F_05,5,B1,F,0.5075,,
MB_B1_F_06,6,B1,F,0.5296,,
MB_B1_F_07,7,B1,F,0.623,,
MB_B1_F_08,8,B1,F,0.4586,,
MB_B1_F_09,9,B1,F,0.3775,,
MB_B1_F_10,10,B1,F,0.7055,,
MB_B1_F_11,11,B1,F,0.4357,,
MB_B1_F_12,12,B1,F,0.6658,,
MB_B1_F_13,13,B1,F,0.5227,,
MB_B1_F_14,14,B1,F,0.3765,,
MB_B1_F_15,15,B1,F,0.6338,,
MB_B1_F_16,16,B1,F,0.2744,,
MB_B1_F_17,17,B1,F,0.6891,,
MB_B1_F_18,18,B1,F,0.603,,
MB_B1_F_19,19,B1,F,0.6321,,
MB_B1_M_01,1,B1,M,0.2364,,
MB_B1_M_02,2,B1,M,0.2792,,
MB_B1_M_03,3,B1,M,0.2527,,
MB_B1_M_04,4,B1,M,0.2581,,
MB_B1_M_05,5,B1,M,0.253,,
MB_B1_M_06,6,B1,M,0.2784,,
MB_B1_M_07,7,B1,M,0.2724,,
MB_B1_M_08,8,B1,M,0.237,,
MB_B1_M_09,9,B1,M,0.2617,,
MB_B1_M_10,10,B1,M,0.2598,,
MB_B1_M_11,11,B1,M,0.2763,,
MB_B1_M_12,12,B1,M,0.2785,,
MB_B1_M_13,13,B1,M,0.268,,
MB_B1_M_14,14,B1,M,0.2386,,
MB_B1_M_15,15,B1,M,0.2474,,
MB_B1_M_16,16,B1,M,0.249,,
MB_C1_F_01,1,C1,F,0.5282,,
MB_C1_F_02,2,C1,F,0.576,,
MB_C1_F_03,3,C1,F,0.5947,,
MB_C1_F_04,4,C1,F,0.4963,,
MB_C1_F_05,5,C1,F,0.5609,,
MB_C1_F_06,6,C1,F,0.5194,,
MB_C1_F_07,7,C1,F,0.46,,
MB_C1_F_08,8,C1,F,0.4047,,
MB_C1_F_09,9,C1,F,0.5056,,
MB_C1_F_10,10,C1,F,0.5199,mrhl,
MB_C1_F_11,11,C1,F,0.5691,,
MB_C1_F_12,12,C1,F,0.5271,,
MB_C1_F_13,13,C1,F,0.571,,
MB_C1_F_14,14,C1,F,0.3124,,
MB_C1_F_15,15,C1,F,0.3836,mrhl,
MB_C1_F_16,16,C1,F,0.534,,
MB_C1_F_17,17,C1,F,0.4558,mlhl,
MB_C1_F_18,18,C1,F,0.7253,,
MB_C1_M_01,1,C1,M,0.1669,mrhl,
MB_C1_M_02,2,C1,M,0.2337,,
MB_C1_M_03,3,C1,M,0.1871,mlhl,
MB_C1_M_04,4,C1,M,0.2386,,
MB_C1_M_05,5,C1,M,0.251,,
MB_C1_M_06,6,C1,M,0.205,,
MB_C1_M_07,7,C1,M,0.2251,,
MB_C1_M_08,8,C1,M,0.1655,,
MB_C1_M_09,9,C1,M,0.2112,,
MB_C1_M_10,10,C1,M,0.2229,,
MB_C1_M_11,11,C1,M,0.2327,,
MB_C1_M_12,12,C1,M,0.2183,,
MB_C1_M_13,13,C1,M,0.2208,,
MB_C1_M_14,14,C1,M,0.2565,,
MB_C1_M_15,15,C1,M,0.2453,,
MB_C1_M_16,16,C1,M,0.2523,,
MB_C1_M_17,17,C1,M,0.2519,,
MB_C1_M_18,18,C1,M,0.2121,,
MB_C1_M_19,19,C1,M,0.2152,,
MB_C1_M_20,20,C1,M,0.2526,,
MB_C1_M_21,21,C1,M,0.2321,,